"id_tiempo","fecha","anio","mes","dia"
10119,"01/01/19",2019,Enero,Martes
10120,"01/01/20",2020,Enero,Miércoles
10121,"01/01/21",2021,Enero,Viernes
10219,"01/02/19",2019,Febrero,Viernes
10220,"01/02/20",2020,Febrero,Sábado
10221,"01/02/21",2021,Febrero,Lunes
10319,"01/03/19",2019,Marzo,Viernes
10320,"01/03/20",2020,Marzo,Domingo
10321,"01/03/21",2021,Marzo,Lunes
10419,"01/04/19",2019,Abril,Lunes
10420,"01/04/20",2020,Abril,Miércoles
10421,"01/04/21",2021,Abril,Jueves
10519,"01/05/19",2019,Mayo,Miércoles
10520,"01/05/20",2020,Mayo,Viernes
10521,"01/05/21",2021,Mayo,Sábado
10619,"01/06/19",2019,Junio,Sábado
10620,"01/06/20",2020,Junio,Lunes
10621,"01/06/21",2021,Junio,Martes
10719,"01/07/19",2019,Julio,Lunes
10720,"01/07/20",2020,Julio,Miércoles
10721,"01/07/21",2021,Julio,Jueves
10819,"01/08/19",2019,Agosto,Jueves
10820,"01/08/20",2020,Agosto,Sábado
10821,"01/08/21",2021,Agosto,Domingo
10919,"01/09/19",2019,Septiembre,Domingo
10920,"01/09/20",2020,Septiembre,Martes
10921,"01/09/21",2021,Septiembre,Miércoles
11019,"01/10/19",2019,Octubre,Martes
11020,"01/10/20",2020,Octubre,Jueves
11021,"01/10/21",2021,Octubre,Viernes
11119,"01/11/19",2019,Noviembre,Viernes
11120,"01/11/20",2020,Noviembre,Domingo
11121,"01/11/21",2021,Noviembre,Lunes
11219,"01/12/19",2019,Diciembre,Domingo
11220,"01/12/20",2020,Diciembre,Martes
11221,"01/12/21",2021,Diciembre,Miércoles
20119,"02/01/19",2019,Enero,Miércoles
20120,"02/01/20",2020,Enero,Jueves
20121,"02/01/21",2021,Enero,Sábado
20219,"02/02/19",2019,Febrero,Sábado
20220,"02/02/20",2020,Febrero,Domingo
20221,"02/02/21",2021,Febrero,Martes
20319,"02/03/19",2019,Marzo,Sábado
20320,"02/03/20",2020,Marzo,Lunes
20321,"02/03/21",2021,Marzo,Martes
20419,"02/04/19",2019,Abril,Martes
20420,"02/04/20",2020,Abril,Jueves
20421,"02/04/21",2021,Abril,Viernes
20519,"02/05/19",2019,Mayo,Jueves
20520,"02/05/20",2020,Mayo,Sábado
20521,"02/05/21",2021,Mayo,Domingo
20619,"02/06/19",2019,Junio,Domingo
20620,"02/06/20",2020,Junio,Martes
20621,"02/06/21",2021,Junio,Miércoles
20719,"02/07/19",2019,Julio,Martes
